scan_id,DSC_L,HD_L,HD95_L,ASSD_L,RVE_L,DSC_R,HD_R,HD95_R,ASSD_R,RVE_R,DSC_Avg,HD_Avg,HD95_Avg,ASSD_Avg,RVE_Avg
LISA_TESTING_0001,0.669,3.742,2.0,0.741,0.193,0.599,4.359,2.236,0.924,0.258,0.634,4.05,2.118,0.832,0.226
LISA_TESTING_0002,0.742,4.0,2.0,0.557,0.193,0.689,3.464,2.236,0.712,0.222,0.716,3.732,2.118,0.635,0.208
